🕘️更新时间,#genre#
CCTV12,http://123.159.73.234:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV12,http://220.164.192.48:50085/tsfile/live/0013_1.m3u8$订阅源
CCTV12,http://221.213.69.82:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV12,http://61.136.172.236:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV13,http://221.224.4.170:1111/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://183.136.148.214:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://118.122.189.74:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://mom.cloudns.be:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源-1920x1080
CCTV13,http://221.233.192.152:1111/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-1920x1080
CCTV13,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://123.159.129.209:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源-1920x1080
CCTV13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8$订阅源-1920x1080
CCTV13,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8$订阅源-1920x1080
CCTV13,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8$订阅源-720x576
